"";"date";"tag";"time";"article_name";"main";"article_id"
"1";"2015-10-01";"Pøíliv uprchlíkù do Evropy";"17:26";"Plòte pravidla EU, kdy chcete do Schengenu, spílá Chorvatsku Budapeš";1;"A151001_172742_zahranicni_hro"
"2";"2015-10-01";"Evropská unie";"17:26";"Plòte pravidla EU, kdy chcete do Schengenu, spílá Chorvatsku Budapeš";0;"A151001_172742_zahranicni_hro"
"7";"2015-10-01";"Pøíliv uprchlíkù do Evropy";"06:17";"Trump hraje na konspiraèní notu: Syøané jsou teroristé. Vyhraju-li, vrátím je";1;"A151001_063033_zahranicni_neh"
"47";"2015-10-09";"Pøíliv uprchlíkù do Evropy";"16:14";"Integrace bìencù vyjde na 13 miliard, hlásí Bavoøi. Chtìjí omezit migraci";1;"A151009_155338_zahranicni_mlb"
"48";"2015-10-08";"Pøíliv uprchlíkù do Evropy";"07:13";"Prošel sedm zemí, nejtìší byla pro mladého uprchlíka cesta Èeskem";1;"A151007_144955_domaci_mcn"
"63";"2015-10-12";"Pøíliv uprchlíkù do Evropy";"19:59";"Èeška pomáhá uprchlicím rodit na moøi. Zmìnilo mi to ivot, øíká";1;"A151009_121010_zahranicni_ert"
"78";"2015-10-13";"Pøíliv uprchlíkù do Evropy";"06:18";"Bìenci proudí dál, Nìmecko prodlouí kontroly hranic do 1. listopadu";1;"A151013_062457_zahranicni_neh"
"79";"2015-10-13";"Evropská komise";"06:18";"Bìenci proudí dál, Nìmecko prodlouí kontroly hranic do 1. listopadu";0;"A151013_062457_zahranicni_neh"
"103";"2015-10-13";"Pøíliv uprchlíkù do Evropy";"10:38";"KOMENTÁØ: Pomohou ruské útoky v Sırii islamistùm?";1;"A151012_135451_zahranicni_jav"
"104";"2015-10-13";"Komentáøe, glosy, názory";"10:38";"KOMENTÁØ: Pomohou ruské útoky v Sırii islamistùm?";0;"A151012_135451_zahranicni_jav"
"105";"2015-10-13";"Sırie";"10:38";"KOMENTÁØ: Pomohou ruské útoky v Sırii islamistùm?";0;"A151012_135451_zahranicni_jav"
"106";"2015-10-13";"Terorismus";"10:38";"KOMENTÁØ: Pomohou ruské útoky v Sırii islamistùm?";0;"A151012_135451_zahranicni_jav"
"164";"2015-10-11";"Pøíliv uprchlíkù do Evropy";"13:13";"Uprchlíkùm v Chorvatsku vyvaøuje Šílenı Švéd. Šéfkuchaø se vzdal i bot";1;"A151011_115107_zahranicni_ert"
"188";"2015-10-11";"Pøíliv uprchlíkù do Evropy";"10:09";"Vlaky mezi Salcburkem a Mnichovem dál stojí. Kvùli pøílivu uprchlíkù";1;"A151011_100307_zahranicni_ert"
"205";"2015-10-11";"Pøíliv uprchlíkù do Evropy";"19:17";"Klidnı víkend na hranici s Rakouskem: policie zadrela ètyøi uprchlíky";1;"A151011_181706_domaci_jj"
"217";"2015-10-11";"Pøíliv uprchlíkù do Evropy";"18:26";"Socialisté dál povedou Vídeò, pøekonali krajnì pravicové Svobodné";1;"A151011_182601_zahranicni_san"
"218";"2015-10-11";"Rakousko";"18:26";"Socialisté dál povedou Vídeò, pøekonali krajnì pravicové Svobodné";0;"A151011_182601_zahranicni_san"
"219";"2015-10-11";"Strana zelenıch";"18:26";"Socialisté dál povedou Vídeò, pøekonali krajnì pravicové Svobodné";0;"A151011_182601_zahranicni_san"
"241";"2015-10-12";"Pøíliv uprchlíkù do Evropy";"00:02";"Expert: Èesko v migraèní krizi ukazuje, jak se politika dìlat nemá";1;"A151007_181659_domaci_neh"
"284";"2015-10-08";"Islámskı stát";"11:58";"Fiala je pro invazi do Sırie a podporu Turecka, aby zastavilo uprchlíky";1;"A151008_115832_domaci_kop"
"285";"2015-10-08";"Pøíliv uprchlíkù do Evropy";"11:58";"Fiala je pro invazi do Sırie a podporu Turecka, aby zastavilo uprchlíky";1;"A151008_115832_domaci_kop"
"286";"2015-10-08";"Islámskı stát";"11:58";"Fiala je pro invazi do Sırie a podporu Turecka, aby zastavilo uprchlíky";0;"A151008_115832_domaci_kop"
"287";"2015-10-08";"ODS";"11:58";"Fiala je pro invazi do Sırie a podporu Turecka, aby zastavilo uprchlíky";0;"A151008_115832_domaci_kop"
"294";"2015-10-08";"Pøíliv uprchlíkù do Evropy";"11:48";"Hranice Schengenu mùe støeit sto èeskıch vojákù, navrhl Chovanec";1;"A151008_112632_domaci_kha"
"295";"2015-10-08";"Milan Chovanec";"11:48";"Hranice Schengenu mùe støeit sto èeskıch vojákù, navrhl Chovanec";0;"A151008_112632_domaci_kha"
"312";"2015-10-08";"Pøíliv uprchlíkù do Evropy";"13:16";"KOMENTÁØ: Chovanec si na bìencích buduje image. Platí to všichni Èeši";1;"A151007_104132_domaci_zt"
