"";"date";"tag";"time";"article_name";"main";"article_id"
"162";"2015-05-13";"Pøíliv uprchlíkù do Evropy";"10:52";"Nesmysl, nic neøeší. Politici jsou vesmìs proti kvótám, pomohli by jinak";1;"A150512_163647_domaci_pku"
"163";"2015-05-13";"Evropská komise";"10:52";"Nesmysl, nic neøeší. Politici jsou vesmìs proti kvótám, pomohli by jinak";0;"A150512_163647_domaci_pku"
"164";"2015-05-13";"Evropská unie";"10:52";"Nesmysl, nic neøeší. Politici jsou vesmìs proti kvótám, pomohli by jinak";0;"A150512_163647_domaci_pku"
"168";"2015-05-13";"Pøíliv uprchlíkù do Evropy";"09:33";"Die Zeit: Èeši pøed lety prchali na Západ, nyní ale uprchlíky nechtìjí";1;"A150513_093226_zahranicni_aha"
"169";"2015-05-13";"Komunismus";"09:33";"Die Zeit: Èeši pøed lety prchali na Západ, nyní ale uprchlíky nechtìjí";0;"A150513_093226_zahranicni_aha"
"254";"2015-05-13";"Pøíliv uprchlíkù do Evropy";"12:50";"Èesko by mìlo pøijmout pøes 500 uprchlíkù, velí nové kvóty Bruselu";1;"A150513_113508_zahranicni_ert"
"255";"2015-05-13";"Evropská komise";"12:50";"Èesko by mìlo pøijmout pøes 500 uprchlíkù, velí nové kvóty Bruselu";0;"A150513_113508_zahranicni_ert"
"256";"2015-05-13";"evropský parlament";"12:50";"Èesko by mìlo pøijmout pøes 500 uprchlíkù, velí nové kvóty Bruselu";0;"A150513_113508_zahranicni_ert"
"713";"2015-05-11";"Pøíliv uprchlíkù do Evropy";"11:17";"Brusel chce každé zemi nakázat, kolik uprchlíkù pøijme. Nìmci souhlasí";1;"A150511_102617_zahranicni_ert"
"714";"2015-05-11";"Evropa";"11:17";"Brusel chce každé zemi nakázat, kolik uprchlíkù pøijme. Nìmci souhlasí";0;"A150511_102617_zahranicni_ert"
"715";"2015-05-11";"Krimi / Èerná kronika ";"11:17";"Brusel chce každé zemi nakázat, kolik uprchlíkù pøijme. Nìmci souhlasí";0;"A150511_102617_zahranicni_ert"
"716";"2015-05-11";"Nehody";"11:17";"Brusel chce každé zemi nakázat, kolik uprchlíkù pøijme. Nìmci souhlasí";0;"A150511_102617_zahranicni_ert"
"988";"2015-05-04";"Pøíliv uprchlíkù do Evropy";"14:33";"Austrálie se s vlnou uprchlíkù vypoøádala. Evropa tam hledá inspiraci";1;"A150504_134721_zahranicni_ert"
"989";"2015-05-04";"Evropa";"14:33";"Austrálie se s vlnou uprchlíkù vypoøádala. Evropa tam hledá inspiraci";0;"A150504_134721_zahranicni_ert"
"990";"2015-05-04";"Krimi / Èerná kronika ";"14:33";"Austrálie se s vlnou uprchlíkù vypoøádala. Evropa tam hledá inspiraci";0;"A150504_134721_zahranicni_ert"
