"";"comment";"commenting_person_id";"negative_score";"comment_id";"article_name";"positive_score";"time";"date";"article_id"
"27249";"Největší úspěch Británie - udělat angličtinu nejdůležitějším jazykem světa, se teď stává i jedním z největších britských problémů.
Žabožrouti mají samozřejmě taky sociální dávky a přistěhovalcům se tam nedaří špatně. Ovšem Británie má angličtinu a to přistěhovalce táhne.
Jsem celkem rád, že česky se nikomu učit nechce. A dokud se tu lidé bez češtiny neobejdou, možná tu nebude světově, ale bude tu fajn.
";24416;"0";70486122;"Calais je zaplaveno uprchlíky. Touží po Británii, místní mají strach";30;"21:01";"6.2.2015";"A150206_081152_zahranicni_ert"
"27250";"kdyz se chce vratit do syrie tak proc jede do anglie?
";19055;"−1";70486120;"Calais je zaplaveno uprchlíky. Touží po Británii, místní mají strach";70;"21:01";"6.2.2015";"A150206_081152_zahranicni_ert"
"27251";"Nechápu, z čeho mají místní strach. Vždyť jsem každým dnem poučováni, že to žádný problém není, že jenom takový nacisté jako Konvička v tom vidí problém. 
Nebude to tím, že ti, kteří Konvičku označují za nacistu, bydlí v pohodě tam, kde tito lidé nejsou, zatímco obyvatelé Calais je mají za sousedy? 
Ono se to snadno plácá čítankové fráze, když je něco tři sta, pět set, nebo tisíc kilometrů daleko, ale mít to pod okny, to by kdejakého sluníčkáře přešel humor.
";62704;"−2";70486113;"Calais je zaplaveno uprchlíky. Touží po Británii, místní mají strach";113;"21:00";"6.2.2015";"A150206_081152_zahranicni_ert"
"27252";"Samozřejmě tento problém bude trvat tak dlouho dokud bude GB respektive EU naivně provozovat tzv. multi-kulti sociální politiku. Protože co udělá Mohamed pokud co dostane do EU? Zavolá domů jakže se má té Evropské Unii dobře, že dostal zadarmo ubytování, stravu atd atd... No a ani se nenadějete a máte v zemi půl Afganistánu...
";7003;"−1";70486107;"Calais je zaplaveno uprchlíky. Touží po Británii, místní mají strach";63;"21:00";"6.2.2015";"A150206_081152_zahranicni_ert"
"27253";"z čeho mají ti rasističtí místní obyvatelé strach? vždyť uprchlíci jsou v táborech a navíc jsou mírumilovní, poctiví a srdce mají plné laskavého multikulturního obohacení ...
";44462;"−2";70486084;"Calais je zaplaveno uprchlíky. Touží po Británii, místní mají strach";88;"20:57";"6.2.2015";"A150206_081152_zahranicni_ert"
"27254";"Je potřeba jim sehnat práci... Ta osvobozuje.
Nebo vrátit zpátky.
";34814;"0";70487637;"Calais je zaplaveno uprchlíky. Touží po Británii, místní mají strach";0;"22:41";"6.2.2015";"A150206_081152_zahranicni_ert"
"27255";"stacilo by prestat s agresi
";67907;"−3";70487635;"Calais je zaplaveno uprchlíky. Touží po Británii, místní mají strach";1;"22:41";"6.2.2015";"A150206_081152_zahranicni_ert"
"27256";"Máte pravdu, lepší bude když zůstanou na pevnině <img class=""smiley"" src=""http://gidnes.cz/u/disk/smile8.gif"" alt="":-)"">.
";63503;"0";70487626;"Calais je zaplaveno uprchlíky. Touží po Británii, místní mají strach";0;"22:40";"6.2.2015";"A150206_081152_zahranicni_ert"
"27257";"nerozumim tomu, proc se tedy ceska republika stavi na stranu tech, kteri pod zastitou miru bombarduji takove zeme jako je syrie, coz zposobuje exodus, aniz by se prihlasily k odpovednosti za nasledky.
";67907;"−9";70487619;"Calais je zaplaveno uprchlíky. Touží po Británii, místní mají strach";2;"22:39";"6.2.2015";"A150206_081152_zahranicni_ert"
"27258";"To je hodne naivni predstava jak funguje zivot v UK ci v EU, nikdo mu samozrejme slusne ubytovani a kvalitni stravu zadarmo neda. Bude se muset hodne otacet tj. tvrde makat, aby se dokazal uzivit. V podstate akorat dostane sanci na slusny zivot, ale zda se mu ji podari vyuzit to je druha vec.
";31384;"0";70487609;"Calais je zaplaveno uprchlíky. Touží po Británii, místní mají strach";0;"22:39";"6.2.2015";"A150206_081152_zahranicni_ert"
"27259";"jojo ...tenkrát věděli proč stavět zdi a hlídat hranice mezi státy !!!!!!!
";30145;"−1";70487606;"Calais je zaplaveno uprchlíky. Touží po Británii, místní mají strach";1;"22:39";"6.2.2015";"A150206_081152_zahranicni_ert"
"27260";"Cim driv se zamezi migraci narodu, tim driv prestanou problémy.  Zavedl bych zeleznou oponu, zrusil volny pohyb pres hranice. Jako narod jsme si sobestacni.
";15433;"−2";70487603;"Calais je zaplaveno uprchlíky. Touží po Británii, místní mají strach";9;"22:39";"6.2.2015";"A150206_081152_zahranicni_ert"
"27261";"Můžete si aspoň některé z nich vzít k sobě domů Kačenko. Jsem si jist, že by Vám místní sluníčkáři i samotní uprchlíci byli velice vděční. <img class=""smiley"" src=""http://gidnes.cz/u/disk/smile2.gif"" alt="";-)"">
";17430;"0";70487591;"Calais je zaplaveno uprchlíky. Touží po Británii, místní mají strach";1;"22:38";"6.2.2015";"A150206_081152_zahranicni_ert"
"27262";"co teda navrhujete?
";94577;"0";70487590;"Calais je zaplaveno uprchlíky. Touží po Británii, místní mají strach";0;"22:38";"6.2.2015";"A150206_081152_zahranicni_ert"
"27263";"Problém je, že to co máme v Evropě bylo vykoupeno krví a potem našich předků. Oni když mají cedit krev nebo potit, tak zdrhnou do EU nebo severní Ameriky.
Viz např. SA a její stažení pilotů z boje proti IS. Přitom SA je přímo ohroženou zemí.
";78887;"0";70487587;"Calais je zaplaveno uprchlíky. Touží po Británii, místní mají strach";5;"22:37";"6.2.2015";"A150206_081152_zahranicni_ert"
"27264";"Ještě bude pár takových článků o uprchlících a pak budou články o tom, jak je budeme v rámci EU muset přijmout a postarat se o ně.
";63503;"0";70487574;"Calais je zaplaveno uprchlíky. Touží po Británii, místní mají strach";9;"22:37";"6.2.2015";"A150206_081152_zahranicni_ert"
"27265";"Vyjadřovat se takhle nesluníčkářsky, že se nestydíte Tome!
";17430;"0";70487555;"Calais je zaplaveno uprchlíky. Touží po Británii, místní mají strach";1;"22:36";"6.2.2015";"A150206_081152_zahranicni_ert"
