"";"X";"category";"commenting_person_id";"positive_reaction";"comment_id";"time";"date";"article_id";"reacting_person_id"
"93571";93571;"zahranicni";51402;0;69863550;"20:14";"5.1.2015";"A150105_143458_zahranicni_ert";33706
"93572";93572;"zahranicni";51402;0;69863550;"20:14";"5.1.2015";"A150105_143458_zahranicni_ert";42204
"93573";93573;"zahranicni";51402;1;69863550;"20:14";"5.1.2015";"A150105_143458_zahranicni_ert";41174
"93574";93574;"zahranicni";51402;1;69863550;"20:14";"5.1.2015";"A150105_143458_zahranicni_ert";39747
"93575";93575;"zahranicni";51402;1;69863550;"20:14";"5.1.2015";"A150105_143458_zahranicni_ert";44011
"93576";93576;"zahranicni";51402;1;69863550;"20:14";"5.1.2015";"A150105_143458_zahranicni_ert";60761
"93577";93577;"zahranicni";51402;1;69863550;"20:14";"5.1.2015";"A150105_143458_zahranicni_ert";85464
"93578";93578;"zahranicni";51402;0;69863550;"20:14";"5.1.2015";"A150105_143458_zahranicni_ert";61070
"93579";93579;"zahranicni";51402;1;69863550;"20:14";"5.1.2015";"A150105_143458_zahranicni_ert";51172
"93580";93580;"zahranicni";51402;1;69863550;"20:14";"5.1.2015";"A150105_143458_zahranicni_ert";67190
"93581";93581;"zahranicni";51402;1;69863550;"20:14";"5.1.2015";"A150105_143458_zahranicni_ert";67819
"93582";93582;"zahranicni";51402;0;69863550;"20:14";"5.1.2015";"A150105_143458_zahranicni_ert";75629
"93583";93583;"zahranicni";51402;0;69863550;"20:14";"5.1.2015";"A150105_143458_zahranicni_ert";86355
"93584";93584;"zahranicni";51402;1;69863550;"20:14";"5.1.2015";"A150105_143458_zahranicni_ert";98989
"93585";93585;"zahranicni";51402;1;69863550;"20:14";"5.1.2015";"A150105_143458_zahranicni_ert";47697
"93586";93586;"zahranicni";51402;0;69863550;"20:14";"5.1.2015";"A150105_143458_zahranicni_ert";7707
"93587";93587;"zahranicni";51402;0;69863550;"20:14";"5.1.2015";"A150105_143458_zahranicni_ert";89511
"93588";93588;"zahranicni";51402;0;69863550;"20:14";"5.1.2015";"A150105_143458_zahranicni_ert";45383
"93589";93589;"zahranicni";51402;1;69863550;"20:14";"5.1.2015";"A150105_143458_zahranicni_ert";94691
"93590";93590;"zahranicni";51402;1;69863550;"20:14";"5.1.2015";"A150105_143458_zahranicni_ert";79449
"93591";93591;"zahranicni";51402;1;69863550;"20:14";"5.1.2015";"A150105_143458_zahranicni_ert";49489
"93592";93592;"zahranicni";51402;1;69863550;"20:14";"5.1.2015";"A150105_143458_zahranicni_ert";47735
"93593";93593;"zahranicni";51402;0;69863550;"20:14";"5.1.2015";"A150105_143458_zahranicni_ert";40116
"93626";93626;"zahranicni";62704;1;69863583;"20:16";"5.1.2015";"A150105_143458_zahranicni_ert";93230
"93627";93627;"zahranicni";62704;0;69863583;"20:16";"5.1.2015";"A150105_143458_zahranicni_ert";33706
"93628";93628;"zahranicni";62704;1;69863583;"20:16";"5.1.2015";"A150105_143458_zahranicni_ert";86355
"93629";93629;"zahranicni";62704;1;69863583;"20:16";"5.1.2015";"A150105_143458_zahranicni_ert";71316
"93630";93630;"zahranicni";62704;0;69863583;"20:16";"5.1.2015";"A150105_143458_zahranicni_ert";14999
"93631";93631;"zahranicni";62704;1;69863583;"20:16";"5.1.2015";"A150105_143458_zahranicni_ert";47697
"93632";93632;"zahranicni";62704;1;69863583;"20:16";"5.1.2015";"A150105_143458_zahranicni_ert";75863
"93633";93633;"zahranicni";62704;1;69863583;"20:16";"5.1.2015";"A150105_143458_zahranicni_ert";19135
"93634";93634;"zahranicni";62704;0;69863583;"20:16";"5.1.2015";"A150105_143458_zahranicni_ert";75629
"93635";93635;"zahranicni";62704;1;69863583;"20:16";"5.1.2015";"A150105_143458_zahranicni_ert";67819
"93636";93636;"zahranicni";62704;1;69863583;"20:16";"5.1.2015";"A150105_143458_zahranicni_ert";60127
"93637";93637;"zahranicni";62704;1;69863583;"20:16";"5.1.2015";"A150105_143458_zahranicni_ert";81685
"93638";93638;"zahranicni";62704;1;69863583;"20:16";"5.1.2015";"A150105_143458_zahranicni_ert";54465
"93639";93639;"zahranicni";62704;1;69863583;"20:16";"5.1.2015";"A150105_143458_zahranicni_ert";79793
"93640";93640;"zahranicni";62704;1;69863583;"20:16";"5.1.2015";"A150105_143458_zahranicni_ert";64143
"93641";93641;"zahranicni";62704;1;69863583;"20:16";"5.1.2015";"A150105_143458_zahranicni_ert";98187
"93642";93642;"zahranicni";62704;1;69863583;"20:16";"5.1.2015";"A150105_143458_zahranicni_ert";98230
"93643";93643;"zahranicni";62704;1;69863583;"20:16";"5.1.2015";"A150105_143458_zahranicni_ert";51172
"93644";93644;"zahranicni";62704;1;69863583;"20:16";"5.1.2015";"A150105_143458_zahranicni_ert";12804
"93645";93645;"zahranicni";62704;0;69863583;"20:16";"5.1.2015";"A150105_143458_zahranicni_ert";89511
"93646";93646;"zahranicni";62704;1;69863583;"20:16";"5.1.2015";"A150105_143458_zahranicni_ert";84840
"93647";93647;"zahranicni";65245;1;69863587;"20:17";"5.1.2015";"A150105_143458_zahranicni_ert";51172
"93648";93648;"zahranicni";65245;1;69863587;"20:17";"5.1.2015";"A150105_143458_zahranicni_ert";47697
"93649";93649;"zahranicni";65245;0;69863587;"20:17";"5.1.2015";"A150105_143458_zahranicni_ert";75629
"93650";93650;"zahranicni";65245;1;69863587;"20:17";"5.1.2015";"A150105_143458_zahranicni_ert";62704
"93651";93651;"zahranicni";65245;1;69863587;"20:17";"5.1.2015";"A150105_143458_zahranicni_ert";47735
"93652";93652;"zahranicni";65245;1;69863587;"20:17";"5.1.2015";"A150105_143458_zahranicni_ert";60127
"93653";93653;"zahranicni";65245;1;69863587;"20:17";"5.1.2015";"A150105_143458_zahranicni_ert";39854
"93654";93654;"zahranicni";65245;0;69863587;"20:17";"5.1.2015";"A150105_143458_zahranicni_ert";33706
"93655";93655;"zahranicni";65245;1;69863587;"20:17";"5.1.2015";"A150105_143458_zahranicni_ert";39747
