"";"MONTH";"YEAR";"TO_DIVIDE";"articles";"comments";"relations";"raw_ties";"negative_ties";"positive_ties";"all_ties";"nodes";"edges"
"1";1;2015;8;2;2242;9887;8075;7;11;18;16;17
"2";2;2015;8;3;599;4160;3475;4;1;5;5;4
"3";3;2015;8;2;415;2534;2309;0;0;0;0;0
"4";4;2015;8;21;6576;42359;34454;34;66;100;69;98
"5";5;2015;8;22;14869;79238;60817;94;231;325;152;320
"6";6;2015;8;58;31514;195734;153216;142;361;503;237;498
"7";7;2015;8;33;16444;92325;71051;96;267;363;178;362
"8";8;2015;8;88;50099;269061;190294;400;1129;1529;450;1528
"9";9;2015;8;182;127045;439291;311470;429;1708;2137;529;2133
"10";10;2015;8;130;84767;364347;255898;394;1587;1981;497;1975
"11";11;2015;8;68;36865;262110;192123;245;887;1132;373;1131
"12";12;2015;8;54;22587;169375;129689;194;411;605;283;599
